"","X.1","X","countries","countrycode","AverageGDPrate","GDP","birdspeciesthreatened","ln_landarea","Gov","average_population_density","mammalspeciesthreatened","Price_Index_yr2011","terrestrialprotectedareasoftotal","ln_popdnsty","constant","AvgCO2ReductionPercent","new_domexp","ln_newdomexp","AvgAgGrowth","GDPmultiplier","X2030GDP","iso3c.x","aglandpercent","futureagland","growthmultiplier_agland","futureco2level","growthmultiplier_co2ems.x","iso3c.y","co2emissions","AvgCO2Growth","iso3c","co2ppp","futureco2levelppp","growthmultiplier_co2ems.y","ln_futureGDP","ln_futureAgLand","ln_futureco2ppp","futureGDP_sq","ln_rishman","ExpRishman","mlr1Expenditures","oilrentsofgdp","terrestrialandmarineprotectedare","RishmanNeeds","mlr1Needs","SPCO2growth","SPAgGrowth","ExpRishmanSP","Expmlr1SP","RishmanNeedsSP","Mlr1NeedsSP","futureCO2_EMS","GSGDPgrowth","GSgdp","ln_GSGDP","GSgdp_sq","GCco2reduction","GCAgGrowth","Expmlr1GC","RishmanNeedsGC","mlr1NeedsGC","ExpRishmanGC"
"13",13,13,"Azerbaijan","AZE",0.0301246273805814,46939529411.7647,17,11.3224,-1.186659,112.104,8,58.8497,10.1534,4.71942701186792,1,-2.21045022061918,NA,NA,0.031704138754456,1.01506231369029,67021782172.3096,"AZE",57.7355751784202,40.4149026248941,1.00031704138754,53188.0528211181,1.02210450220619,"AZE",37487.741,2.21045022061918,"AZE",0.220763786069101,0.0434588521675283,0.903408975709952,24.9282835105509,4.06031141370893,-3.13594071574221,621.419318782405,16.7118085659199,18106989.2103527,17540815.3231126,26.1292,5.51902,112828168.732257,27690150.8321667,0,0,17991825.5240921,14664285.6164847,112172038.823585,23250390.0814213,0.154534650248371,0.0150623136902907,56163113946.7403,24.7515260428964,612.638041452178,0.3,-0.3,8486561.55597343,83962088.1976885,13635899.7409226,13105360.0216801
"14",14,14,"Bahamas","BHS",0,12424500000,10,9.21134,1.528742,36.0958,5,122.408,34.8224,3.5861765150801,1,-4.4051163659327,NA,NA,0.871794871794872,1,12424500000,"BHS",1.3986013986014,0.97902097902098,1.00871794871795,4816.64715081353,1.04405116365933,"BHS",2416.553,4.4051163659327,"BHS",0.213897622965748,0.301876842330111,1.02176610091139,23.2429361666707,0.456995071925863,-1.19773615163703,540.234081647929,15.7179220172863,6702036.66008627,9898646.55725472,0.023857,6.11682,9782724.31057953,15845301.8802977,0,0,6690904.14070199,5524626.31733588,6758786.38085474,8970023.78139407,0.149728336076024,0,12424500000,23.2429361666707,540.234081647929,0.3,-0.3,4910495.47815695,6723529.10626226,7995800.17621446,6652729.57445928
"15",15,15,"Bahrain","BHR",0.0368316325515434,37746196808.5106,7,6.641584,0.3325953,1666.14,3,71.9713,6.64783,7.41826485280961,1,-6.81620022944134,NA,NA,-0.42486569670891,1.01841581627577,58260212276.1876,"BHR",11.0539846325564,7.73778924278948,0.995751343032911,90005.2400605313,1.06816200229441,"BHR",31338.182,6.81620022944134,"BHR",0.506246551444879,0.469203461751444,0.995262052670503,24.7881852320719,2.34318304900865,-0.756718784243155,614.45412709951,15.1377785398162,3751921.02388726,1465360.76418518,3.20113,1.68916,6455382.44890201,2457348.88383066,0,0,3787850.64474309,1011201.40182362,4527824.31583974,1711126.46425484,0.354372586011415,0.0184158162757717,46986687066.5341,24.573130144629,603.838725104873,0.3,-0.3,781005.183970233,4109706.85935984,1329932.19768946,3406895.95544092
"16",16,16,"Bangladesh","BGD",0.0640956734232698,274024958965.892,36,11.7766,-1.887096,1160.73,37,40.2503,4.60731,7.05680439651252,1,-6.9068430078472,NA,NA,-0.0917782338478915,1.03204783671163,577508325909.201,"BGD",70.6323266569678,49.4426286598775,0.999082217661521,213077.585197398,1.06906843007847,"BGD",73189.653,6.9068430078472,"BGD",0.146150671469164,0.118282318879745,0.986864299706713,27.0819886963972,4.24463307174181,-2.13468097918712,733.434111751787,18.32085193678,90499233.2971915,65696811.863301,0.855862,4.88866,121842635.052624,100428733.48296,0,0,91753667.9492968,41134513.3156357,113121963.048656,63601939.9604955,0.102305470028415,0.0320478367116349,400117968953.193,26.7150252629563,713.692574800394,0.3,-0.3,18536934.0208294,75960111.3673169,29223313.2241068,59347759.7627177
"17",17,17,"Barbados","BRB",0,5.145e+09,4,6.063785,2.132025,658.168,3,130.035,1.29674,6.48946021788587,1,-0.131586887535747,44000,10.6919449129004,-4.532992007992,1,5.145e+09,"BRB",23.2558139534884,16.2790697674419,0.95467007992008,1299.50503818784,1.00131586887536,"BRB",1272.449,0.131586887535747,"BRB",0.26495372223739,0.187800295685643,0.978718709275947,22.3612912062324,2.49710266391706,-1.67237613773827,500.027344409927,14.593195147582,2176427.10502855,653259.243127779,NA,0.008971,NA,1117247.94987281,0,0,2587588.9789105,3032961.23855089,NA,4996868.50826418,0.185467605566173,0,5.145e+09,22.3612912062324,500.027344409927,0.3,-0.3,2343513.75025942,NA,3885305.89357679,2322071.85537551
"18",18,18,"Belarus","BLR",0.0247454839180356,59662495092.2654,9,12.22061,-1.002079,46.8314,4,43.4602,9.40566,3.84655391811481,1,-0.914985104632344,NA,NA,-0.488833265485663,1.01237274195902,80000659683.4392,"BLR",42.0354891269939,29.4248423888957,0.995111667345143,73459.6837150774,1.00914985104632,"BLR",63497.772,0.914985104632344,"BLR",0.353667508307162,0.125724427121077,0.937403415167778,25.1053007176293,3.66990976584003,-2.07366285353757,630.276124122597,16.9390488644257,22726651.4038912,14980662.529399,0,9.40608,45607790.6688844,23739669.6181136,0,0,23669372.5299526,17102755.0148763,22536058.9122139,27015251.859678,0.247567255815013,0.0123727419590178,69149131737.7049,24.9595313387629,622.97820465069,0.3,-0.3,11038034.9613399,18184242.2501565,17622379.4332431,18717383.0704241
"19",19,19,"Belgium","BEL",0.0115713161833701,542761092103.469,8,10.31824,2.838679,364.527,2,150.393,23.2656,5.89860062277944,1,1.5925341931619,NA,NA,-0.210469802737104,1.00578565809169,623112955628.416,"BEL",44.6103054434653,31.2272138104257,0.997895301972629,72204.9381352962,0.984074658068381,"BEL",93350.819,-1.5925341931619,"BEL",0.185359852575068,0.0739621275325943,0.944195893992004,27.1579936484942,3.76846807185253,-2.6042021068873,737.556619011653,19.075795087532,192536265.764872,222448474.205385,3.56898,24.6255,166594204.24772,330101743.122493,0,0,196197514.168165,273586312.41444,263414617.741596,403947542.133947,0.129751896802548,0.00578565809168505,581666390274.189,27.0891629077414,733.822747042153,0.3,-0.3,176050889.442039,213725565.545257,262742223.548503,156090610.856501
"20",20,20,"Belize","BLZ",0.0220404307567894,1871203164.08274,6,10.03495,-0.9867359,14.8039,10,74.1348,37.6796,2.69489065957,1,-3.29530840525048,8511500,15.9569287482368,0.517483481664915,1.01102021537839,2430736369.93188,"BLZ",7.01446733888645,4.91012713722052,1.00517483481665,831.637807352089,1.0329530840525,"BLZ",495.045,3.29530840525048,"BLZ",0.171275590739644,0.143161738010126,0.988856375669809,21.6114600812875,2.02023565815358,-1.94378025282463,467.055206845081,14.2656226384521,1568487.97253595,1898119.65610114,3.83692,20.5909,4038492.51727149,3163078.38850648,0,0,1555040.97741907,1265064.69096118,3288635.16299889,2129065.36896829,0.119892913517751,0.0110202153783947,2134219167.82528,21.4813666873759,461.449114757502,0.3,-0.3,1088283.0564419,3107745.4041216,1838271.26136733,1461712.81760833
"21",21,21,"Benin","BEN",0.0449151544154071,10354274634.9108,12,11.63302,-0.9928355,86.7072,13,58.4917,29.3722,4.46253692532115,1,-10.8561898201689,NA,NA,1.20060794815404,1.0224575772077,17542521342.0293,"BEN",33.2564739269244,23.2795317488471,1.01200607948154,32866.6431213916,1.10856189820169,"BEN",6318.241,10.8561898201689,"BEN",0.29047614453868,0.561584427563922,1.0420631455528,23.5878935616799,3.67133354807933,-0.576993155351703,556.388722677141,16.2810099235986,11769357.8976578,21586878.6483019,0.105009,25.2719,12259297.2873452,33905559.45877,0,0,10743873.067374,5981606.80901361,16690172.054027,9693224.56310742,0.203333301177076,0.0224575772077036,13516469003.703,23.3271747050857,544.157079721589,0.3,-0.3,4100863.6421235,13652721.1791812,6706824.76177895,8624200.99780272
"22",22,22,"Bermuda","BMU",0,NA,3,3.988984,2.467345,1200.26,4,201.628,3.22661,7.09029347897393,1,-1.59142262854259,NA,NA,-2.49999981373547,1,5728559844.24526,"BMU",5.55555567819886,3.8888889747392,0.975000001862645,741.179218783079,1.01591422628543,"BMU",575.719,1.59142262854259,"BMU",NA,NA,0.975086236605627,22.46873,1.36034916513334,NA,504.8438278129,NA,NA,462537.287735257,0,0.01155,NA,797739.408570543,0,0,NA,875693.935318324,NA,1487024.09758752,NA,0,NA,NA,NA,0.3,-0.3,NA,NA,NA,NA
"23",23,23,"Bhutan","BTN",0.0608544705263675,2446674101.3737,21,10.54858,1.261443,18.455,25,46.5731,48.0086,2.91533533648196,1,-13.5964683216534,44433000,17.6094929945772,-1.03302598755157,1.03042723526318,4971023948.09264,"BTN",13.6063342409668,9.52443396867676,0.989669740124484,7696.81112028915,1.13596468321653,"BTN",1001.091,13.5964683216534,"BTN",0.171704224823375,0.306996148894448,1.0369838593365,22.3268916816077,2.46515961452547,-1.18092007579138,498.490092162244,16.4013067841444,13273853.8733967,19200790.1928319,0.027357,48.0077,24682260.3181107,30243958.0308806,0,0,13686937.2065997,9782359.64411728,37080736.6588002,15663660.8039965,0.120192957376362,0.0304272352631838,3505775269.96271,21.9776775226924,483.018309291461,0.3,-0.3,7901050.60293686,32478595.3466778,12717235.7245052,11839832.4095967
"24",24,24,"Bolivia","BOL",0.0488682810073351,40287647756.8741,55,13.89552,-1.578444,9.57869,21,54.7661,30.867,2.25954083941753,1,-6.79501373340594,384942000,19.7686032315527,0.153817913266109,1.02443414050367,71420573928.534,"BOL",34.7872242222838,24.3510569555987,1.00153817913266,58434.5530759797,1.06795013733406,"BOL",20410.522,6.79501373340594,"BOL",0.289139535206209,0.275298794141849,0.996938922156995,24.9918518150442,3.57076816218194,-1.28989824700354,624.592657145129,18.0666417989514,70184763.3366351,54640041.9151004,0,30.8655,109312021.290868,83902160.3016492,0,0,69344764.0503241,31018919.835656,111755056.474833,48291967.5403493,0.202397674644346,0.0244341405036675,53824553077.0506,24.7089955769027,610.534462419399,0.3,-0.3,19954320.764434,90019812.9982705,31401433.4731246,54733798.9243409
"25",25,25,"Bosnia and Herzegovina","BIH",0.0171672604427542,20161865419.4327,7,10.84349,-0.7116999,69.8705,4,66.3814,1.41367,4.24664352868589,1,-3.77231653978473,4566500,15.3342576051139,0.23138246042503,1.00858363022138,24730858274.0956,"BIH",43.14453125,30.201171875,1.00231382460425,40207.092198495,1.03772316539785,"BIH",22233.021,3.77231653978473,"BIH",0.558457900060887,0.427525356143273,0.983440784165187,23.9313176236638,3.79691179705328,-0.849741679748402,572.707963204683,16.0900318570838,9723263.36358401,12061599.5089833,0,1.41423,8341864.69043856,19214986.146966,0,0,9492942.18680837,8266906.94287768,8384126.67490696,13291449.4405198,0.390920530042621,0.0085836302213771,22339512545.7499,23.8296228105531,567.850923293232,0.3,-0.3,5473486.16242974,6817828.24427803,8889002.70888101,7570892.26736347
"26",26,26,"Botswana","BWA",0.0392007674211672,18616018903.4434,16,13.24764,1.531405,3.59873,11,70.9802,29.1422,1.28058100544357,1,-7.14256204216264,NA,NA,0.0230907106479838,1.01960038371058,29531147081.1206,"BWA",45.6330167970197,31.9431117579138,1.00023090710648,21210.5508803579,1.07142562042163,"BWA",7033.306,7.14256204216264,"BWA",0.197017742213324,0.180931420928,0.994690662301896,24.1087113765506,3.82386383340848,-1.70963720941378,581.229964237821,19.016623897238,181474171.768648,185783739.257492,0,29.1433,175737489.101847,276904753.957416,0,0,181015832.952512,108123555.498768,230218260.400453,163292518.107224,0.137912419549327,0.0196003837105836,23498854603.6091,23.8802175166367,570.264788641884,0.3,-0.3,67900528.3661578,179600825.170556,103714148.37723,137958779.146399
"27",27,27,"Brazil","BRA",0.0156647292947527,1868626087908.48,175,15.93875,-0.5654845,23.8226,80,113.4,29.2598,3.17063470994364,1,-4.71463127364533,NA,NA,0.3895862974628,1.00783236464738,2251784683863.08,"BRA",33.9245334488295,23.7471734141806,1.00389586297463,1107226.64358056,1.04714631273645,"BRA",529808.16,4.71463127364533,"BRA",0.159730474611126,0.139040280912364,0.991367217118011,28.4427442105617,3.57857456574167,-1.97299159709624,808.989698227443,22.5276798019856,6076409416.53056,11154013676.2684,1.72064,25.9646,14044668740.1486,15047271676.945,0,0,5896738400.19293,6739841637.724,13664580995.029,9204550113.61368,0.111811332227788,0.00783236464737635,2052022022272.76,28.3498467752812,803.713812181923,0.3,-0.3,4503185763.87262,11520767758.8076,6210639375.14555,4892495350.48437
"28",28,28,"British Virgin Islands","VGB",NA,NA,3,5.010635,NA,185.995,1,138.699,8.91921,5.22571979163145,1,-3.75891291984198,NA,NA,0,NA,NA,"VGB",46.6666666666667,32.6666666666667,1,324.275097112903,1.03758912919842,"VGB",179.683,3.75891291984198,"VGB",NA,NA,NA,30.39458,3.8430301339412,NA,923.8306,NA,NA,NA,0.286761,0.040733,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.3,NA,NA,NA,NA
"29",29,29,"Brunei Darussalam","BRN",0,13567351175.0315,31,8.569786,1.964203,75.7876,33,73.5477,46.8714,4.32793469087578,1,-8.46276356837038,NA,NA,3.56861529131278,1,13567351175.0315,"BRN",2.73244774545167,1.91271342181617,1.03568615291313,33415.8993740735,1.0846276356837,"BRN",9108.828,8.46276356837038,"BRN",0.27517478194873,0.681120364585622,1.05828088575153,23.3309320946161,1.49609601186681,-0.384016241628739,544.332392403586,16.0002329844043,8888181.0868695,39253686.7199797,18.8809,8.98941,50561090.9209602,60763011.5360221,0,0,8697030.44267426,7197352.77514084,49566218.0570895,11610928.2993096,0.192622347364111,0,13567351175.0315,23.3309320946161,544.332392403586,0.3,-0.3,6342836.57504299,49036806.2690355,10263936.7409248,8595457.97935653
"30",30,30,"Bulgaria","BGR",0.0203068122279856,65132951116.4756,17,11.59518,0.3747948,67.3264,8,60.5104,34.6991,4.20955243313426,1,0.598337495272134,75015000,18.1331986515032,-0.318557724865721,1.01015340611399,82902989508.8122,"BGR",46.2509211495947,32.3756448047163,0.996814422751343,38532.7508979329,0.994016625047279,"BGR",42416.189,-0.598337495272134,"BGR",0.334864510077664,0.116398057349872,0.936089315234809,25.1409369600637,3.7894121124897,-2.15073943325816,632.066711229895,17.6485753686323,46203927.7481607,28553319.7240992,0,28.2937,58417278.8977823,44543110.1130624,0,0,47551917.3210762,34170442.8531413,64355285.3769608,53073258.7690788,0.234405157054365,0.0101534061139928,73527321735.1311,25.0209228983803,626.046582686694,0.3,-0.3,21677533.5803977,51307809.2153803,34044473.6150891,37112307.258581
"31",31,31,"Burkina Faso","BFA",0.0561925050372741,14124775068.569,12,12.51942,-1.0813,60.878,9,58.3891,14.9753,4.10887186150264,1,-10.3727646011062,62423000,17.9494443551707,1.22882320193221,1.02809625251864,27220651562.4901,"BFA",44.2251461988304,30.9576023391813,1.01228823201932,13820.4652110936,1.10372764601106,"BFA",2849.259,10.3727646011062,"BFA",0.0968996212108428,0.134394414432957,1.0206543626713,24.0272417707859,3.96028036970076,-2.0069764110353,577.308347111799,17.0409359325736,25164276.1236097,48030143.0167061,0.321459,14.9769,21632662.0634683,73984247.7328337,0,0,22124769.9241999,13056636.7691494,25643609.7458815,20760049.0343066,0.06782973484759,0.0280962525186371,19696399934.6792,23.703701711558,561.865474830519,0.3,-0.3,8098547.10701946,19689314.4090426,13027286.2099573,16570828.8663291
"32",32,32,"Burundi","BDI",0.0264115462299887,3036931818.18182,15,10.15347,-2.843237,362.176,14,43.5374,7.59098,5.89213028152006,1,-9.76615019480966,4144000,15.2371720629215,1.34415818804562,1.01320577311499,4152344595.5597,"BDI",79.1666666666667,55.4166666666667,1.01344158188046,1954.28130214017,1.0976615019481,"BDI",440.04,9.76615019480966,"BDI",0.0550472148708599,0.0916952315966666,1.03240645812783,22.1469389744431,4.55848396857054,-2.38928490110812,490.486905937707,15.0519556269088,3443350.80650757,9557168.55654692,0,7.59183,4100062.01182846,15311760.4831062,0,0,2669670.99430201,2214933.32377426,3342553.64388824,3677180.87601472,0.0385330504096019,0.0132057731149943,3554732377.42228,21.9915456167553,483.62807861383,0.3,-0.3,1188751.8309942,2301709.82576615,2003665.8939066,1775006.21375104
"33",33,33,"Cabo Verde","CPV",0.0252763134319375,1976814276.50792,7,8.301521,1.028214,125.514,4,79.4317,2.79683,4.83241730613504,1,-4.83254663362098,NA,NA,0.437150568729501,1.01263815671597,2667208451.78942,"CPV",19.6029776674938,13.7220843672457,1.0043715056873,1045.57185428202,1.04832546633621,"CPV",491.378,4.83254663362098,"CPV",0.149005141877367,0.117471302314032,0.985248217933559,21.7042982387431,3.03674917427516,-2.14156121085356,471.076562036305,14.8430875537712,2794287.05625726,6895982.27050093,4.50242,0.878073,4792904.69918613,11136341.5523528,0,0,2739608.3675551,4132362.44582136,3685272.53618713,6757081.16023212,0.104303599314157,0.0126381567159687,2298356124.47352,21.5554599758516,464.637854770539,0.3,-0.3,3275905.75910078,3285690.1962474,5387009.71681401,2416353.20563985
