"","countries","type","amt_provided_developinginthousan","mobilizing_int_finflowsinusdthou","mobililizing_int_flows_coeff","dom_exp","gaps","needs","avail_resources","expected_funding_gap","int_pob","incl","eval","inc_pob","type_exp","sources","domestice_sources","international_sources","report_dom_exp","report_funding_gaps","prepare_fin_plans","newneeds","domexp_thousand","ln_newneeds","lndomexp_thousand","birdspeciesthreatened","mammalspeciesthreatened","landareasqkm","ln_landarea","politicalstabilityandabsenceofvi","governmenteffectivenessestimate","Price_Index_yr2011","terrestrialprotectedareasoftotal","terrestrialandmarineprotectedare","gdpconstant2010us","lnGDP","GDP_sq","CO2_Ems","GDP_CO2","Threatened_Species","yhat_exp","exp_domexp3","yhat_9","N9","manual_exp7","lnmanual_exp7","error","controlofcorruptionestimate","regulatoryqualityestimate","ruleoflawestimate","voiceandaccountabilityestimate","populationgrowthannual","average_co2emmkt","average_population_density","Gov","agriculturallandoflandarea","ln_average_co2emmkt","ln_manual_E12","manual_E12","oilrentsofgdp","yhat_N12","N_12","OR_Table9","countrycode","pc1","pc2","pc3","pc4","pc5","pc6","yhat_exp_pca","Exp_pca","manual_exp_pca","lnmanual_exp_pca","yhat","N_pca","biofin","dev","broad_region","new_domexp","ln_newdomexp","new_needs","constant","ln_agland","ln_CO2ems","ln_popdnsty","ln_GDP2010","AvgCO2ReductionPercent","ln_CO2reduct","EmAbsDiff","EmExtrapExp","ln_emexp2","ln_Emily_Manual_Exp","Emily_Manual_Exp","ln_rishman2","ExtrapExpRishman","ln_anthony","anthonyMan","EmilyNeeds"
"11","Finland","Developed_Countries",NA,23373.5,1.15,3e+06,52519.2,851722,799203,52519.2,1,2,2,1,NA,NA,0,0,1,1,1,8.52e+08,2.96e+09,20.5627707404693,21.80744,11,2,303931,12.62456,1.06549,1.91225,162.6,14.9955,14.1772,2.5e+11,26.24473,688.7856,0.2685,7.046709,13,20.76772,1.05e+09,20.72116,9.98e+08,2.96e+09,21.80744,1.039717,2.22177,1.82887,2.05039,1.55654,0.288689,55823.1,17.7861,4.225566,7.51543,10.92994,21.80744,2.96e+09,0,21.00229,1.32e+09,1,"FIN",1.257414,3.109514,0.0048518,-0.334411,-0.9675463,0.0976721,19.43045,2.74e+08,2.96e+09,21.80744,21.81375,2.98e+09,0,3,"Europe",3e+09,21.8218781256145,851722000,1,2.01695824046354,-1.31490436503322,2.87841725336128,26.2447267548087,3.73723162161337,1.31834512921238,2819375054.77278,227309227.878358,19.2418218857917,21.8218781256145,3e+09,20.2396656213504,616559643.576898,20.9376559251357,1239105921.11421,4178613167.95346
"12","France","Developed_Countries",NA,NA,NA,2500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47e+09,NA,21.62852,16,9,547557,13.21322,0.140008,1.41557,151.407,25.8713,30.8319,2.7e+12,28.62427,819.349,0.148193,4.241917,25,21.13422,1.51e+09,21.06289,1.4e+09,2.47e+09,21.62852,0.494297,1.31938,1.12176,1.43589,1.17766,0.297347,346508,119.744,2.578672,52.8436,12.75566,21.62852,2.47e+09,0.009654,20.99899,1.32e+09,1,"FRA",2.355196,2.029603,-1.052008,0.6744218,-1.803937,-0.7959785,21.7551,2.81e+09,2.47e+09,21.62852,21.64615,2.52e+09,0,3,"Europe",2.5e+09,21.6395565688206,NA,1,3.96733660753776,-1.90923980070397,4.78535613065162,28.6242728889388,2.58626043277131,0.950212984007152,1398919157.99686,2654417639.72981,21.6994911228462,21.6395565688206,2.5e+09,21.0700666343168,1414534918.2276,21.048739063124,1384685760.5094,3497668194.52735
"13","Germany","Developed_Countries",NA,NA,NA,1700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71e+09,NA,21.2621,11,5,348848,12.76239,0.699769,1.70834,139.57,37.7279,38.7672,3.6e+12,28.91195,835.9011,0.232831,6.731599,16,21.51342,2.2e+09,21.41647,2e+09,1.71e+09,21.2621,-0.2513275,1.86147,1.7551,1.70253,1.40673,0.55815,756474,234.261,3.61323,48.1183,13.53642,21.2621,1.71e+09,0.022731,20.71978,9.97e+08,1,"DEU",2.523638,2.782485,-0.6096715,0.7388518,-1.443693,-0.0300905,21.70325,2.66e+09,1.71e+09,21.2621,21.30291,1.79e+09,0,3,"Europe",1.7e+09,21.2538940880086,NA,1,3.87366256213662,-1.45744241047803,5.45643587839382,28.9119549613906,1.48153379710826,0.393077900534192,971884338.103001,4991628142.27638,22.3310279745091,21.2538940880086,1.7e+09,21.4678932776847,2105656806.88414,21.3597102798747,1889749806.75065,2400850563.57703
"14","Greece","Developed_Countries",NA,NA,NA,106970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07e+08,NA,18.48806,17,10,128900,11.76679,-0.094662,0.306592,124.26,35.1309,10.2067,2.8e+11,26.35806,694.7471,0.274342,7.231122,27,17.97965,64300000,18.12155,74100000,1.07e+08,18.48806,0.5084076,-0.099092,0.28411,0.194797,0.700951,-0.438029,84887,85.0163,0.3230239,55.4976,11.34908,18.48806,1.07e+08,0.010034,18.3702,95100000,1,"GRC",1.05212,1.078811,-0.2085318,0.9373289,-0.9093059,0.2775148,19.50691,2.96e+08,1.07e+08,18.48806,18.70434,1.33e+08,0,3,"Europe",106970000,18.4880589792823,NA,1,4.01633977657413,-1.29337977573464,4.4428430028117,26.3580554401157,4.39547030328708,1.48057453412362,68975131.0994458,70804078.6725582,18.0754271653741,18.4880589792823,106970000,18.2991147492764,88553261.0982739,18.4791841632115,106024861.095312,161592563.836108
"15","Hungary","Developed_Countries",NA,844,27.05,20912,131953,150093,18140.3,131953,1,1,0,1,0,1,0,0,0,0,0,1.5e+08,20900000,18.8267656599399,16.85583,13,3,90317.7,11.41109,0.726494,0.500888,79.3416,22.5984,22.599,1.4e+11,25.66491,658.6875,0.231329,5.937037,16,18.46197,1.04e+08,18.57127,1.16e+08,20900000,16.85583,-1.606138,0.110616,0.674736,0.481999,0.439751,-0.252873,49295.1,109.919,1.160795,60.7068,10.80558,16.85583,20900000,0.156283,16.8178,20100000,1,"HUN",0.2371997,0.8947318,-0.0434226,1.034503,-0.6638879,-0.2383362,18.55381,1.14e+08,20900000,16.85583,17.17537,28800000,0,3,"Europe",20912000,16.8558337148461,150093000,1,4.10605571815011,-1.46391433930736,4.69974373090718,25.6649082595557,3.70782131720024,1.31044445808518,8349365.87521988,71263453.5782442,18.0818941814392,16.8558337148461,20912000,18.4972150591995,107953923.435723,18.3703358975086,95090145.2969614,32870965.4456511
"16","Iceland","Developed_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,100250,11.51542,1.33544,1.45708,148.326,17.9144,2.47823,1.5e+10,23.43132,549.0266,0.153509,3.596918,13,18.52572,1.11e+08,18.63071,1.23e+08,1.11e+08,18.52572,NA,1.87964,1.32366,1.64434,1.37609,1.76156,2034.37,3.24068,3.535711,18.6949,7.617941,18.59831,1.19e+08,0,18.30525,89100000,1,"ISL",-0.5991483,2.608337,-0.6575094,0.0375555,-0.7591842,0.4229437,17.46924,38600000,38600000,17.46924,17.74997,51100000,0,3,"Europe",NA,NA,NA,1,2.92825075939097,-1.87399608175185,1.17578318432645,23.4313160380486,1.72693554597242,0.546348477085581,NA,36575026.2165976,17.4148762216603,17.4148762216603,36575026.2165976,18.658311873034,126824128.920312,19.1059604418291,198432676.991081,56714065.5201703
"17","Ireland","Developed_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,68890,11.14027,0.968414,1.43462,148.294,14.4408,4.04247,2.6e+11,26.28395,690.8459,0.19106,5.021811,14,19.53405,3.04e+08,19.57088,3.16e+08,3.04e+08,19.53405,NA,1.57991,1.70103,1.5927,1.31105,0.96962,39034.8,66.8144,3.384597,63.8701,10.57221,19.92742,4.51e+08,0,19.41442,2.7e+08,1,"IRL",0.8337924,2.225102,-0.2767667,1.144558,-1.36113,-1.014717,19.9726,4.72e+08,4.72e+08,19.9726,20.09498,5.34e+08,0,3,"Europe",NA,NA,NA,1,4.15685133325256,-1.65516776414027,4.20191862617325,26.2839474679619,2.82792806450474,1.03954431083129,NA,529610513.062911,20.0876524133397,20.0876524133397,529610513.062911,19.8230036907143,406463093.004858,19.8037806238441,398724246.279273,769490877.706079
"18","Italy","Developed_Countries",27314.2,37371.4,1.38,1900000,0,NA,1700000,0,1,1,1,1,2,2,584889,0,1,1,1,NA,1.88e+09,NA,21.35431,17,8,294140,12.59181,0.364284,0.454576,137.749,21.5294,13.359,2.1e+12,28.37296,805.0248,0.194439,5.516809,25,19.85749,4.21e+08,19.87246,4.27e+08,1.88e+09,21.35431,1.496815,0.09905,0.691361,0.310598,1.03343,0.065416,402151,202.952,0.9125534,46.7211,12.90458,21.35431,1.88e+09,0.073732,20.72861,1.01e+09,1,"ITA",1.963461,1.557609,-0.5973421,0.4335937,-1.375844,-0.7296337,20.81809,1.1e+09,1.88e+09,21.35431,21.38929,1.95e+09,0,3,"Europe",1.9e+09,21.3651197231188,NA,1,3.84419588276335,-1.6376367897928,5.31296949788035,28.3729584606579,4.59503660983768,1.52497672309641,1814876223.89036,426743952.743536,19.8716947490488,21.3651197231188,1.9e+09,19.6047900029769,326777478.382432,19.9697479190754,470707725.523176,2676047514.39971
"19","Japan","Developed_Countries",1200000,1e+06,0.82,2300000,NA,NA,NA,NA,1,1,2,1,0,2,NA,NA,NA,NA,NA,NA,2.29e+09,NA,21.55182,49,29,364540,12.80639,1.29834,1.03766,173.625,26.045,7.38147,5.9e+12,29.39922,864.3139,0.264596,7.778914,78,21.69007,2.63e+09,21.58117,2.36e+09,2.29e+09,21.55182,-0.1382504,1.7424,1.52831,1.0085,NA,-0.144252,1200000,349.791,3.048684,12.54,14.00256,21.55182,2.29e+09,0.002312,21.15434,1.54e+09,1,"JPN",3.531324,2.869545,-0.9871835,-0.3806057,-0.3263585,0.3104156,21.84319,3.06e+09,2.29e+09,21.55182,21.5743,2.34e+09,0,3,"Asia",2.3e+09,21.5561749598815,NA,1,2.52892353520477,-1.32955114457352,5.85733583326551,29.4059734668402,0.0818436712292591,-2.50294429972735,2002359112.48954,4677559058.09911,22.2660422420294,21.5561749598815,2.3e+09,21.3002069218729,1780583438.30529,21.9371929977018,3366680219.46734,3224393438.80289
"20","Latvia","Developed_Countries",NA,NA,NA,8668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8668000,NA,15.97515,11,1,62190.6,11.03796,0.458743,1.0001,88.0876,18.1709,17.5107,2.8e+10,24.05547,578.6656,0.187605,4.512926,12,17.98979,6.5e+07,18.131,74900000,8668000,15.97515,-2.014642,0.435818,1.13701,0.902864,0.829663,-0.874482,7549.95,33.0762,1.85179,29.7881,8.929296,15.97515,8668000,0,15.99517,8843333,1,"LVA",-0.6280759,1.248288,-0.2728759,0.1632566,-0.4473225,0.1198777,17.11005,2.7e+07,8668000,15.97515,16.35039,12600000,0,3,"Europe",8668000,15.9751486416384,NA,1,3.3941089848993,-1.67341659031316,3.49881399052201,24.0554703471216,1.51187276623929,0.413349124903948,11299528.6307931,26830768.0014421,17.1050598467197,15.9751486416384,8667999.99999999,17.7466250605867,50963745.2572527,18.0436046259474,68586386.5319927,13920257.6415383
"21","Lithuania","Developed_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,62664.2,11.04554,0.771726,1.05508,81.377,16.9954,17.6225,4.2e+10,24.46094,598.3373,0.207993,5.087703,12,18.36974,9.5e+07,18.48527,1.07e+08,9.5e+07,18.36974,NA,0.588395,1.17527,0.985319,0.968862,-1.17068,13713.4,48.1888,2.132509,45.0742,9.526126,18.23323,82900000,0.085533,17.94825,62300000,1,"LTU",-0.3998003,1.230049,-0.0795369,0.6242646,-0.4901155,-0.1505281,17.60844,44400000,44400000,17.60844,17.88037,58300000,0,3,"Europe",NA,NA,NA,1,3.80831002073443,-1.57025085369328,3.87512662891036,24.4609354552298,0.910223602526489,-0.094064992592658,NA,60160909.1025622,17.912533348904,17.912533348904,60160909.1025622,18.260839869193,85227939.7340735,18.3320627042196,91519507.4977755,92163465.6316388
"22","Luxembourg","Developed_Countries",NA,NA,NA,38481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38500000,NA,17.46568,3,0,2430,7.795647,1.38727,1.70644,162.429,38.0052,38.0049,5.7e+10,24.76632,613.3705,0.239951,5.942703,3,16.95661,23100000,17.16765,28600000,38500000,17.46568,0.5090675,2.068,1.6919,1.81802,1.53782,2.23911,10664.5,220.028,4.013399,53.838,9.274672,17.46568,38500000,0,17.3986,3.6e+07,1,"LUX",-0.2812982,3.616099,-0.2536809,1.150747,-0.7411419,0.4492719,18.42433,1e+08,38500000,17.46568,17.74663,5.1e+07,0,3,"Europe",38481000,17.4656751709501,NA,1,3.98597953754398,-1.42732054315166,5.39375481098115,24.766317104781,1.94041343459842,0.662901060988135,19953110.9386301,137065150.590713,18.7359669225105,17.4656751709501,38480999.9999999,17.8184445894087,54758577.9573473,17.2416403837068,30757375.7027439,59595763.3289334
"23","Malta","Developed_Countries",NA,NA,NA,21490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21500000,NA,16.8831,5,2,320,5.768321,1.16264,0.961549,100.07,28.0876,6.39471,1e+10,23.02585,530.1898,0.221614,5.102851,7,14.74612,2536043,15.10657,3636642,21500000,16.8831,2.136983,0.758584,1.20555,1.10492,1.17534,2.53503,2524.93,1345.47,2.397337,31.0028,7.83397,16.8831,21500000,0,16.85339,20900000,1,"MLT",-1.900748,2.757895,-0.1939446,-0.0555979,1.094482,-0.1396449,15.16997,3874683,21500000,16.8831,17.20091,29500000,0,3,"Europe",21490000,16.8830982686187,NA,1,3.43407752298695,-1.50681814920928,7.20449867337435,23.0258509299405,0.929214178148655,-0.0734160197556114,21489993.0250209,1083659.62295046,13.8958544107049,16.8830982686187,21490000,15.8580666446048,7710292.20733044,15.2026384426331,4003335.48410492,33757092.7538664
"24","Netherlands","Developed_Countries",NA,NA,NA,2300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26e+09,NA,21.53704,10,3,33716.9,10.42576,0.934541,1.83708,149.09,11.2725,20.1041,8.7e+11,27.49176,755.7968,0.230467,6.335943,13,20.12534,5.5e+08,20.12221,5.48e+08,2.26e+09,21.53704,1.411699,1.93284,1.92203,1.89308,1.56291,0.501368,174868,496.834,3.969671,55.4604,12.07179,21.53704,2.26e+09,0.045744,20.75982,1.04e+09,1,"NLD",1.42672,2.782904,-0.0207429,0.7099162,-0.9945831,-1.53526,20.37715,7.07e+08,2.26e+09,21.53704,21.56046,2.31e+09,0,3,"Europe",2.3e+09,21.5561749598815,NA,1,4.01566925256696,-1.46764759382301,6.20825596628072,27.491759048595,0.832373403518339,-0.183474136536865,2287233067.42876,954905672.642958,20.6771231214651,21.5561749598815,2.3e+09,20.3014270348118,655839750.840838,19.9752163103685,473288790.255132,3224393438.80289
"25","New Zealand","Developed_Countries",16838.2,20955.2,1.26,813442,NA,NA,NA,NA,0,1,1,1,2,1,NA,NA,1,1,0,NA,8.13e+08,NA,20.51679,69,9,263310,12.48109,1.52826,1.81917,151.37,32.5468,30.4963,1.6e+11,25.78772,665.0065,0.241711,6.233176,78,21.07482,1.42e+09,21.00751,1.33e+09,8.13e+08,20.51679,-0.5580349,2.24573,1.99537,1.95276,1.55837,1.90289,33247.9,16.9539,4.40973,42.6139,10.41175,20.51679,8.13e+08,0.501617,20.12936,5.52e+08,1,"NZL",1.829052,2.595691,-1.017945,0.8612984,-0.2564732,0.9724524,20.37242,7.04e+08,8.13e+08,20.51679,20.60474,8.88e+08,0,3,"Europe",813442000,20.5167851852162,NA,1,3.75218049113378,-1.42001248134429,2.83049789585574,25.7984396521802,-0.522160206576133,NA,1154444954.18594,1694730740.2879,21.2507897098726,20.5167851852162,813442000.000001,21.5080809383374,2192001605.21372,21.1148348427929,1479300004.33504,1169597013.57509
